component,wall_ms,cpu_ms,notes
multiparty:public-key-generation,40.861,46.686,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:relinearization-key-generation,790.444,812.014,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:galois-key-generation,15102.713,15384.937,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
4.1-aggregate-initialization,971.360,1046.528,server-side creation of encrypted zero period aggregates; excludes streamed voter inputs
4.1-simulated-client-input-preparation,0.000,0.000,"execution-mode=sampled-server-benchmark; encoding and encryption of incoming candidate, delegation, and shared-mask ciphertexts; excluded from server ingestion time"
4.1-server-aggregation,12638.470,12774.583,ciphertext additions into period aggregates; contains no input encoding or encryption
4.1-estimated-full-server-aggregation,63192.350,63872.915,"extrapolated from 10000 combined voter-period samples to n*T=50000; estimate, not directly measured"
multiparty:threshold-decryption,26.698,59.325,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
