phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,3.223,3.291,0.000,0.000,2.084,2.767,2.767,18.406,0.000,1
2-bgv-setup,16013.537,16346.197,15934.019,16243.637,2.767,1874.467,2769.519,2826.125,2835.359,21
3-pre-election-weight-input-preparation,85.503,114.210,0.000,0.000,1154.256,1179.562,1179.562,2825.750,0.000,1
3.1-benchmark-input-fixture-preparation,37.910,51.971,0.000,0.000,1170.508,1181.549,1181.549,2826.531,0.000,1
4.1-streamed-input-reception-and-aggregation,12951.579,13100.484,0.000,0.000,1175.010,1206.073,1212.749,2826.562,1312.270,1
4.2-tally-periodic-echo-sequential,56.265,56.495,0.000,0.000,1199.041,1209.305,1209.305,2826.406,0.000,1
4.1-streamed-input-reception-and-aggregation,188.724,189.626,0.000,0.000,1207.029,1238.073,1238.073,2826.312,0.000,1
4.2-tally-periodic-echo-sequential,749.381,755.336,0.000,0.000,1231.045,1242.604,1318.849,2826.531,1345.801,1
4.1-streamed-input-reception-and-aggregation,191.796,193.350,0.000,0.000,1207.030,1238.073,1238.073,2826.125,0.000,1
4.2-tally-periodic-echo-sequential,738.241,745.355,0.000,0.000,1231.046,1242.607,1326.859,2826.500,1349.559,1
4.1-streamed-input-reception-and-aggregation,208.996,209.698,0.000,0.000,1207.031,1238.075,1238.075,2825.938,0.000,1
4.2-tally-periodic-echo-sequential,767.998,774.131,0.000,0.000,1231.049,1242.608,1326.864,2826.500,1348.832,1
4.1-streamed-input-reception-and-aggregation,190.244,191.818,0.000,0.000,1207.033,1238.077,1238.077,2825.844,0.000,1
4.2-tally-periodic-echo-sequential,744.250,751.010,0.000,0.000,1231.050,1242.609,1326.875,2826.500,1349.379,1
4.3-tally-lagrange-indicator,2754.914,2784.832,0.000,0.000,1182.040,1229.368,1290.366,2826.469,1320.387,1
4.4-tally-delegate-support,2360.826,2385.682,0.000,0.000,1189.779,1256.147,1276.482,2826.469,1330.227,1
4.5-tally-dTilde,826.183,835.478,0.000,0.000,1185.784,1235.633,1280.090,2826.469,1324.230,1
4.6-tally-Dw+dTilde,35388.577,35762.117,0.000,0.000,1173.534,1195.881,15080.390,15189.938,14387.133,4
4.7-tally-vote-weight-product,2134.085,3035.919,0.000,0.000,1169.572,99.996,1284.060,15190.469,11718.047,1
5-threshold-decrypt-verify,35.048,73.634,26.698,59.325,29.669,7.391,7.391,15190.406,0.000,2
