component,wall_ms,cpu_ms,notes
multiparty:public-key-generation,43.409,49.759,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:relinearization-key-generation,785.307,817.484,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:galois-key-generation,14682.281,14985.219,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
4.1-aggregate-initialization,507.590,647.446,server-side creation of encrypted zero period aggregates; excludes streamed voter inputs
4.1-simulated-client-input-preparation,541135.916,547713.574,"execution-mode=fresh; encoding and encryption of incoming candidate, delegation, and shared-mask ciphertexts; excluded from server ingestion time"
4.1-server-aggregation,10869.688,10950.229,ciphertext additions into period aggregates; contains no input encoding or encryption
multiparty:threshold-decryption,28.774,54.910,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
