phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,0.489,0.532,0.000,0.000,2.085,2.035,2.035,18.125,0.000,1
2-bgv-setup,15758.372,16087.755,15679.669,15985.327,2.035,1873.598,2891.117,2986.344,2862.715,22
3-pre-election-weight-input-preparation,46.491,63.175,0.000,0.000,1153.510,1170.815,1170.815,2986.031,0.000,1
4.1-streamed-input-reception-and-aggregation,22314.287,22663.050,0.000,0.000,1162.013,1181.832,2285.013,2986.562,2394.645,3
4.2-tally-periodic-echo-sequential,26.261,35.588,0.000,0.000,1174.054,1180.318,1180.318,2986.500,0.000,1
4.1-streamed-input-reception-and-aggregation,22894.024,23225.271,0.000,0.000,1178.042,1197.079,2359.046,2986.562,2424.168,3
4.2-tally-periodic-echo-sequential,413.885,508.312,0.000,0.000,1190.085,1213.645,1213.645,2986.375,0.000,1
4.1-streamed-input-reception-and-aggregation,22511.261,22756.682,0.000,0.000,1178.070,1197.112,2366.758,2986.500,2427.070,3
4.2-tally-periodic-echo-sequential,400.384,483.231,0.000,0.000,1190.112,1213.672,1213.672,2986.500,0.000,1
4.1-streamed-input-reception-and-aggregation,22111.017,22368.070,0.000,0.000,1178.098,1197.133,2344.307,2986.500,2429.457,3
4.2-tally-periodic-echo-sequential,395.099,491.149,0.000,0.000,1190.135,1213.696,1253.967,2986.500,1330.820,1
4.1-streamed-input-reception-and-aggregation,22342.400,22582.822,0.000,0.000,1178.121,1197.155,2322.329,2986.500,2430.477,3
4.2-tally-periodic-echo-sequential,384.696,462.766,0.000,0.000,1190.156,1213.716,1213.716,2986.250,0.000,1
4.3-tally-lagrange-indicator,1331.191,1350.110,0.000,0.000,1165.398,1208.726,1255.619,2986.500,1303.586,1
4.4-tally-delegate-support,1258.071,1268.565,0.000,0.000,1169.136,1235.493,1239.529,2986.469,1303.590,1
4.5-tally-dTilde,455.609,458.385,0.000,0.000,1169.137,1224.979,1224.979,2986.344,0.000,1
4.6-tally-Dw+dTilde,1446.833,1467.864,0.000,0.000,1162.887,1180.697,1634.944,2986.469,1609.953,1
4.7-tally-vote-weight-product,1688.817,1735.167,0.000,0.000,1158.888,95.050,1249.431,2986.469,1292.340,1
5-threshold-decrypt-verify,35.939,63.992,28.783,53.311,28.969,6.691,6.691,2985.938,0.000,2
