component,wall_ms,cpu_ms,notes
multiparty:public-key-generation,45.169,51.467,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:relinearization-key-generation,768.863,796.615,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:galois-key-generation,14929.061,15195.763,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
4.1-aggregate-initialization,521.699,655.207,server-side creation of encrypted zero period aggregates; excludes streamed voter inputs
4.1-simulated-client-input-preparation,268114.008,271320.183,"execution-mode=fresh; encoding and encryption of incoming candidate, delegation, and shared-mask ciphertexts; excluded from server ingestion time"
4.1-server-aggregation,5741.893,5773.994,ciphertext additions into period aggregates; contains no input encoding or encryption
multiparty:threshold-decryption,30.212,53.037,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
