phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,30.655,37.374,0.000,0.000,0.553,8.183,8.183,23.438,0.000,4
2-bgv-setup,3127.539,3175.087,3090.839,3138.702,8.189,537.119,778.587,855.438,781.934,17
3-pre-election-weight-input-preparation,189.131,197.770,0.000,0.000,337.568,389.218,389.218,855.438,0.000,1
4.1-streamed-input-reception-and-aggregation,1570040.094,1572446.415,0.000,0.000,387.709,463.047,928.727,935.406,944.301,496
4.2-tally-periodic-echo-sequential,1408.682,1430.073,0.000,0.000,460.299,497.075,520.364,935.062,534.883,1
4.1-streamed-input-reception-and-aggregation,438.042,446.552,0.000,0.000,484.305,559.083,559.083,935.062,716.859,1
4.2-tally-periodic-echo-sequential,2715.704,2730.175,0.000,0.000,556.328,497.076,798.430,935.062,810.191,1
4.1-streamed-input-reception-and-aggregation,439.056,453.765,0.000,0.000,484.306,559.084,559.084,935.062,0.000,1
4.2-tally-periodic-echo-sequential,2719.047,2734.966,0.000,0.000,556.329,497.077,780.266,935.062,791.855,1
4.1-streamed-input-reception-and-aggregation,458.249,471.620,0.000,0.000,484.306,559.085,559.085,935.062,0.000,1
4.2-tally-periodic-echo-sequential,2714.958,2737.758,0.000,0.000,556.331,497.710,759.729,935.062,773.145,1
4.1-streamed-input-reception-and-aggregation,469.568,484.642,0.000,0.000,484.309,559.087,559.087,935.062,547.078,1
4.2-tally-periodic-echo-sequential,2786.720,2801.928,0.000,0.000,556.332,497.080,807.542,935.062,820.297,1
4.2-tally-periodic-echo-sequential,934.042,954.455,933.896,954.374,432.543,443.826,803.644,935.062,871.734,2
4.3-tally-lagrange-indicator,4988.180,5038.297,0.000,0.000,432.543,471.328,761.536,935.062,777.363,1
4.4-tally-delegate-support,3860.391,3890.921,0.000,0.000,456.425,479.331,554.933,935.062,566.770,1
4.5-tally-dTilde,1419.219,1434.626,0.000,0.000,433.919,419.062,523.786,935.062,548.914,1
4.6-tally-Dw+dTilde,4971.791,4982.102,0.000,0.000,397.784,427.310,2735.421,2991.031,2755.602,4
4.7-tally-vote-weight-product,1874.299,1946.556,0.000,0.000,396.290,64.201,549.811,2991.031,575.375,1
5-threshold-decrypt-verify,9.074,10.383,7.044,8.259,18.923,10.542,10.542,2990.938,0.000,1
