component,wall_ms,cpu_ms,notes
multiparty:public-key-generation,45.544,52.595,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:relinearization-key-generation,785.369,814.518,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:galois-key-generation,13872.653,14157.791,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
4.1-aggregate-initialization,498.386,577.447,server-side creation of encrypted zero period aggregates; excludes streamed voter inputs
4.1-simulated-client-input-preparation,528167.177,534644.266,"execution-mode=fresh; encoding and encryption of incoming candidate, delegation, and shared-mask ciphertexts; excluded from server ingestion time"
4.1-server-aggregation,11315.132,11410.839,ciphertext additions into period aggregates; contains no input encoding or encryption
multiparty:threshold-decryption,26.315,46.480,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
