phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,7.980,17.801,0.000,0.000,2.089,5.801,5.801,14.406,0.000,2
2-bgv-setup,16205.565,16563.123,16129.462,16473.345,5.828,1877.413,2660.845,2778.625,2790.289,19
3-pre-election-weight-input-preparation,360.600,440.196,0.000,0.000,1157.298,1230.611,1230.611,2778.594,0.000,1
3.1-benchmark-input-fixture-preparation,41.443,57.124,0.000,0.000,1221.562,1232.603,1232.603,2778.438,0.000,1
4.1-streamed-input-reception-and-aggregation,63011.099,63503.808,0.000,0.000,1227.564,1330.692,1344.926,2778.562,1385.422,1
4.2-tally-periodic-echo-sequential,281.856,283.634,0.000,0.000,1323.657,1357.966,1357.966,2778.312,0.000,1
4.1-streamed-input-reception-and-aggregation,776.805,791.505,0.000,0.000,1355.682,1458.703,1582.168,2778.438,1591.789,1
4.2-tally-periodic-echo-sequential,3014.845,3044.501,0.000,0.000,1451.675,1391.230,1708.253,2778.531,1725.539,1
4.1-streamed-input-reception-and-aggregation,761.929,804.503,0.000,0.000,1355.653,1458.707,1458.707,2778.500,1505.473,1
4.2-tally-periodic-echo-sequential,3040.859,3067.943,0.000,0.000,1451.680,1391.234,1716.310,2778.500,1732.355,1
4.1-streamed-input-reception-and-aggregation,780.550,824.158,0.000,0.000,1355.658,1458.714,1458.714,2778.500,1506.004,1
4.2-tally-periodic-echo-sequential,3098.104,3127.179,0.000,0.000,1451.686,1391.995,1716.341,2778.500,1735.324,1
4.1-streamed-input-reception-and-aggregation,771.101,808.624,0.000,0.000,1355.663,1458.719,1458.719,2778.500,1507.984,1
4.2-tally-periodic-echo-sequential,3119.538,3147.933,0.000,0.000,1451.689,1392.497,1725.622,2778.500,1740.641,1
4.3-tally-lagrange-indicator,10790.864,10928.348,0.000,0.000,1281.164,1352.507,1731.258,2778.469,1745.270,1
4.4-tally-delegate-support,9113.205,9234.823,0.000,0.000,1312.913,1379.285,1497.427,2778.469,1512.496,1
4.5-tally-dTilde,3323.850,3377.626,0.000,0.000,1284.917,1298.765,1443.974,2778.469,1463.406,1
4.6-tally-Dw+dTilde,35530.486,35942.500,0.000,0.000,1236.663,1283.280,15142.527,15258.469,14475.938,4
4.7-tally-vote-weight-product,4779.042,5699.313,0.000,0.000,1232.720,126.883,1492.533,15258.438,9792.566,1
5-threshold-decrypt-verify,40.814,82.721,29.340,45.649,32.803,10.525,10.525,15258.156,0.000,2
