component,wall_ms,cpu_ms,notes
multiparty:public-key-generation,14.547,14.705,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:relinearization-key-generation,232.337,255.381,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:galois-key-generation,3982.571,4133.157,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
4.1-aggregate-initialization,2881.570,3051.722,server-side creation of encrypted zero period aggregates; excludes streamed voter inputs
4.1-simulated-client-input-preparation,0.000,0.000,"execution-mode=sampled-server-benchmark; encoding and encryption of incoming candidate, delegation, and shared-mask ciphertexts; excluded from server ingestion time"
4.1-server-aggregation,23290.563,23560.640,ciphertext additions into period aggregates; contains no input encoding or encryption
4.1-estimated-full-server-aggregation,116452.815,117803.200,"extrapolated from 50000 combined voter-period samples to n*T=250000; estimate, not directly measured"
multiparty:refresh,1306.175,1429.505,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:threshold-decryption,21.495,33.113,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
