phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,28.464,33.462,0.000,0.000,0.554,8.184,8.184,19.469,0.000,4
2-bgv-setup,10938.257,11025.689,10889.116,10974.545,8.195,1879.740,2308.177,2931.406,2526.785,18
3-pre-election-weight-input-preparation,246.543,280.012,0.000,0.000,1159.646,1232.916,1232.916,2931.406,2938.793,1
4.1-streamed-input-reception-and-aggregation,4251130.758,4264436.011,0.000,0.000,1225.906,1330.897,2674.343,2931.375,2696.066,456
4.2-tally-periodic-echo-sequential,2525.886,2574.437,0.000,0.000,1323.138,1390.697,1537.696,2931.094,1556.262,1
4.1-streamed-input-reception-and-aggregation,590.926,592.648,0.000,0.000,1355.212,1458.162,1458.162,2931.094,0.000,1
4.2-tally-periodic-echo-sequential,4991.342,5027.834,0.000,0.000,1451.156,1391.421,1767.367,2931.094,1784.660,1
4.1-streamed-input-reception-and-aggregation,626.821,625.950,0.000,0.000,1355.142,1458.415,1458.415,2931.094,1508.621,1
4.2-tally-periodic-echo-sequential,4796.806,4851.994,0.000,0.000,1451.158,1390.668,1790.738,2931.094,1808.180,1
4.1-streamed-input-reception-and-aggregation,585.897,596.992,0.000,0.000,1355.143,1458.164,1458.164,2931.094,0.000,1
4.2-tally-periodic-echo-sequential,4864.348,4885.112,0.000,0.000,1451.163,1391.925,1759.778,2931.094,1781.301,1
4.1-streamed-input-reception-and-aggregation,586.550,599.447,0.000,0.000,1355.148,1458.167,1458.167,2931.094,1669.594,1
4.2-tally-periodic-echo-sequential,4790.772,4819.667,0.000,0.000,1451.161,1392.930,1792.985,2931.094,1809.695,1
4.3-tally-lagrange-indicator,8496.353,8572.167,0.000,0.000,1284.635,1355.914,1702.955,2931.094,1721.512,1
4.4-tally-delegate-support,6953.413,7010.897,0.000,0.000,1316.420,1382.684,1491.510,2931.094,1746.645,1
4.5-tally-dTilde,2443.739,2435.999,0.000,0.000,1288.418,1302.164,1453.512,2931.094,1536.102,1
4.6-tally-Dw+dTilde,26351.443,26306.184,0.000,0.000,1240.129,1286.409,14760.957,15242.812,14152.566,4
4.7-tally-vote-weight-product,3755.523,4096.233,0.000,0.000,1236.142,131.499,1500.041,15243.031,14161.918,1
5-threshold-decrypt-verify,51.582,61.485,44.696,53.415,36.219,13.958,13.958,15242.938,0.000,1
