experiment_id,strategy,execution_mode,run_kind,repetition,status,exit_code,elapsed_seconds,run_directory,log,parameter_id,workload_seed,process_peak_rss_mib
n1000-b5-k5-tree-none,tree-none,fresh,warmup,0,passed,0,453.8303047749214,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-v2-20260911_170014Z/raw/20260911_190014_n1000_b5_k5_T5_2564923116,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-v2-20260911_170014Z/logs/n1000-b5-k5-tree-none-warmup-0.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n1000-b5-k5-warmup-0,3260.609375
n1000-b5-k5-tree-none,tree-none,fresh,measured,0,passed,0,454.3981571600307,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-v2-20260911_170014Z/raw/20260911_190748_n1000_b5_k5_T5_3294081264,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-v2-20260911_170014Z/logs/n1000-b5-k5-tree-none-measured-0.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n1000-b5-k5-measured-0,3260.046875
n1000-b5-k5-tree-none,tree-none,fresh,measured,1,passed,0,452.562530873809,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-v2-20260911_170014Z/raw/20260911_191523_n1000_b5_k5_T5_1230652531,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-v2-20260911_170014Z/logs/n1000-b5-k5-tree-none-measured-1.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n1000-b5-k5-measured-1,3259.75
n1000-b5-k5-tree-none,tree-none,fresh,measured,2,passed,0,451.1359210689552,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-v2-20260911_170014Z/raw/20260911_192255_n1000_b5_k5_T5_3075803626,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-v2-20260911_170014Z/logs/n1000-b5-k5-tree-none-measured-2.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n1000-b5-k5-measured-2,3260.26953125
n1000-b5-k5-sequential-none,sequential-none,fresh,warmup,0,passed,0,452.2309829799924,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-v2-20260911_170014Z/raw/20260911_193026_n1000_b5_k5_T5_290623915,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-v2-20260911_170014Z/logs/n1000-b5-k5-sequential-none-warmup-0.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n1000-b5-k5-warmup-0,3261.359375
n1000-b5-k5-sequential-none,sequential-none,fresh,measured,0,passed,0,449.59440131112933,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-v2-20260911_170014Z/raw/20260911_193759_n1000_b5_k5_T5_750298480,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-v2-20260911_170014Z/logs/n1000-b5-k5-sequential-none-measured-0.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n1000-b5-k5-measured-0,3260.80859375
n1000-b5-k5-sequential-none,sequential-none,fresh,measured,1,passed,0,449.5953069990501,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-v2-20260911_170014Z/raw/20260911_194528_n1000_b5_k5_T5_2101061735,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-v2-20260911_170014Z/logs/n1000-b5-k5-sequential-none-measured-1.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n1000-b5-k5-measured-1,3261
n1000-b5-k5-sequential-none,sequential-none,fresh,measured,2,passed,0,449.68525305297226,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-v2-20260911_170014Z/raw/20260911_195258_n1000_b5_k5_T5_1239406442,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-v2-20260911_170014Z/logs/n1000-b5-k5-sequential-none-measured-2.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n1000-b5-k5-measured-2,3261.20703125
