phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,10.720,20.493,0.000,0.000,2.089,5.795,5.795,18.094,0.000,2
2-bgv-setup,4295.795,4500.824,4251.802,4440.158,5.827,534.756,689.061,838.438,738.879,17
3-pre-election-weight-input-preparation,244.844,281.729,0.000,0.000,335.205,386.898,386.898,837.938,0.000,1
3.1-benchmark-input-fixture-preparation,15.076,18.864,0.000,0.000,383.345,387.635,387.635,838.562,0.000,1
4.1-streamed-input-reception-and-aggregation,24411.808,24592.185,0.000,0.000,386.846,461.693,467.626,838.656,480.727,1
4.2-tally-periodic-echo-sequential,186.719,187.534,0.000,0.000,458.908,483.804,483.804,838.625,0.000,1
4.1-streamed-input-reception-and-aggregation,573.513,592.708,0.000,0.000,482.902,557.713,557.713,838.125,0.000,1
4.2-tally-periodic-echo-sequential,1910.182,1926.138,0.000,0.000,554.936,495.726,720.087,838.594,734.512,1
4.1-streamed-input-reception-and-aggregation,582.460,620.876,0.000,0.000,482.904,557.718,557.718,838.594,545.578,1
4.2-tally-periodic-echo-sequential,1884.678,1899.212,0.000,0.000,554.939,495.729,747.338,838.594,761.797,1
4.1-streamed-input-reception-and-aggregation,562.322,586.440,0.000,0.000,482.908,557.719,557.719,838.594,0.000,1
4.2-tally-periodic-echo-sequential,1842.583,1859.149,0.000,0.000,554.943,495.738,723.193,838.594,738.613,1
4.1-streamed-input-reception-and-aggregation,552.246,591.790,0.000,0.000,482.914,557.725,557.725,838.594,555.461,1
4.2-tally-periodic-echo-sequential,1815.385,1832.653,0.000,0.000,554.954,495.746,756.516,838.562,771.910,1
4.2-tally-periodic-echo-sequential,1295.555,1356.467,1295.011,1356.278,429.666,441.871,565.659,858.531,850.523,2
4.3-tally-lagrange-indicator,6536.432,6619.451,0.000,0.000,429.657,467.884,714.570,858.531,731.086,1
4.4-tally-delegate-support,4893.202,4965.199,0.000,0.000,453.543,476.531,556.277,858.531,695.789,1
4.5-tally-dTilde,1880.080,1903.103,0.000,0.000,431.042,416.880,508.542,858.531,524.117,1
4.6-tally-Dw+dTilde,6918.255,7057.254,0.000,0.000,394.909,424.476,2676.375,2990.312,2707.645,4
4.7-tally-vote-weight-product,2499.531,2722.490,0.000,0.000,393.416,61.385,561.485,2990.531,1416.020,1
5-threshold-decrypt-verify,16.879,25.234,14.170,21.332,16.049,7.678,7.678,2990.469,0.000,1
