component,wall_ms,cpu_ms,notes
multiparty:public-key-generation,42.259,49.479,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:relinearization-key-generation,782.243,819.044,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:galois-key-generation,15304.958,15604.822,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
4.1-aggregate-initialization,3829.777,3994.617,server-side creation of encrypted zero period aggregates; excludes streamed voter inputs
4.1-simulated-client-input-preparation,0.000,0.000,"execution-mode=sampled-server-benchmark; encoding and encryption of incoming candidate, delegation, and shared-mask ciphertexts; excluded from server ingestion time"
4.1-server-aggregation,61643.357,62430.615,ciphertext additions into period aggregates; contains no input encoding or encryption
4.1-estimated-full-server-aggregation,308216.789,312153.075,"extrapolated from 50000 combined voter-period samples to n*T=250000; estimate, not directly measured"
multiparty:threshold-decryption,29.340,45.649,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
