experiment_id,strategy,execution_mode,run_kind,repetition,status,exit_code,elapsed_seconds,run_directory,log,parameter_id,workload_seed,process_peak_rss_mib
n200-b5-k5-tree-none,tree-none,fresh,warmup,0,passed,0,108.08415460586548,/home/mbotelho/coercion_resistant_voting/experiments/results/n200-v2-20260911_154637Z/raw/20260911_174637_n200_b5_k5_T5_3976157306,/home/mbotelho/coercion_resistant_voting/experiments/results/n200-v2-20260911_154637Z/logs/n200-b5-k5-tree-none-warmup-0.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n200-b5-k5-warmup-0,2707.05859375
n200-b5-k5-tree-none,tree-none,fresh,measured,0,passed,0,108.2977187728975,/home/mbotelho/coercion_resistant_voting/experiments/results/n200-v2-20260911_154637Z/raw/20260911_174826_n200_b5_k5_T5_2015466174,/home/mbotelho/coercion_resistant_voting/experiments/results/n200-v2-20260911_154637Z/logs/n200-b5-k5-tree-none-measured-0.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n200-b5-k5-measured-0,2998.2578125
n200-b5-k5-tree-none,tree-none,fresh,measured,1,passed,0,108.31056020711549,/home/mbotelho/coercion_resistant_voting/experiments/results/n200-v2-20260911_154637Z/raw/20260911_175014_n200_b5_k5_T5_270854457,/home/mbotelho/coercion_resistant_voting/experiments/results/n200-v2-20260911_154637Z/logs/n200-b5-k5-tree-none-measured-1.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n200-b5-k5-measured-1,2671.7265625
n200-b5-k5-tree-none,tree-none,fresh,measured,2,passed,0,108.50532822706737,/home/mbotelho/coercion_resistant_voting/experiments/results/n200-v2-20260911_154637Z/raw/20260911_175202_n200_b5_k5_T5_1302968023,/home/mbotelho/coercion_resistant_voting/experiments/results/n200-v2-20260911_154637Z/logs/n200-b5-k5-tree-none-measured-2.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n200-b5-k5-measured-2,2654.3828125
n200-b5-k5-sequential-none,sequential-none,fresh,warmup,0,passed,0,105.16165806516074,/home/mbotelho/coercion_resistant_voting/experiments/results/n200-v2-20260911_154637Z/raw/20260911_175351_n200_b5_k5_T5_3242223015,/home/mbotelho/coercion_resistant_voting/experiments/results/n200-v2-20260911_154637Z/logs/n200-b5-k5-sequential-none-warmup-0.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n200-b5-k5-warmup-0,2998.0390625
n200-b5-k5-sequential-none,sequential-none,fresh,measured,0,passed,0,106.39871580409817,/home/mbotelho/coercion_resistant_voting/experiments/results/n200-v2-20260911_154637Z/raw/20260911_175536_n200_b5_k5_T5_1995182779,/home/mbotelho/coercion_resistant_voting/experiments/results/n200-v2-20260911_154637Z/logs/n200-b5-k5-sequential-none-measured-0.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n200-b5-k5-measured-0,2827.21875
n200-b5-k5-sequential-none,sequential-none,fresh,measured,1,passed,0,104.72110466100276,/home/mbotelho/coercion_resistant_voting/experiments/results/n200-v2-20260911_154637Z/raw/20260911_175722_n200_b5_k5_T5_3005425321,/home/mbotelho/coercion_resistant_voting/experiments/results/n200-v2-20260911_154637Z/logs/n200-b5-k5-sequential-none-measured-1.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n200-b5-k5-measured-1,2827.3203125
n200-b5-k5-sequential-none,sequential-none,fresh,measured,2,passed,0,105.22696996596642,/home/mbotelho/coercion_resistant_voting/experiments/results/n200-v2-20260911_154637Z/raw/20260911_175907_n200_b5_k5_T5_3577175519,/home/mbotelho/coercion_resistant_voting/experiments/results/n200-v2-20260911_154637Z/logs/n200-b5-k5-sequential-none-measured-2.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n200-b5-k5-measured-2,3036.60546875
