component,wall_ms,cpu_ms,notes
multiparty:public-key-generation,17.868,24.596,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:relinearization-key-generation,229.577,242.742,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:galois-key-generation,4073.640,4231.470,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
4.1-aggregate-initialization,735.856,801.665,server-side creation of encrypted zero period aggregates; excludes streamed voter inputs
4.1-simulated-client-input-preparation,0.000,0.000,"execution-mode=sampled-server-benchmark; encoding and encryption of incoming candidate, delegation, and shared-mask ciphertexts; excluded from server ingestion time"
4.1-server-aggregation,4781.471,4837.858,ciphertext additions into period aggregates; contains no input encoding or encryption
4.1-estimated-full-server-aggregation,23907.359,24189.290,"extrapolated from 10000 combined voter-period samples to n*T=50000; estimate, not directly measured"
multiparty:refresh,332.908,359.986,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:threshold-decryption,12.534,24.632,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
