component,wall_ms,cpu_ms,notes
multiparty:public-key-generation,50.357,51.344,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:relinearization-key-generation,565.331,570.463,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:galois-key-generation,10266.192,10337.255,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
4.1-aggregate-initialization,407.465,423.185,server-side creation of encrypted zero period aggregates; excludes streamed voter inputs
4.1-simulated-client-input-preparation,84753.194,85092.476,"execution-mode=fresh; encoding and encryption of incoming candidate, delegation, and shared-mask ciphertexts; excluded from server ingestion time"
4.1-server-aggregation,1402.275,1364.933,ciphertext additions into period aggregates; contains no input encoding or encryption
multiparty:threshold-decryption,18.551,23.687,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
