phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,10.231,16.204,0.000,0.000,2.092,2.756,2.756,14.156,0.000,2
2-bgv-setup,15821.542,16170.325,15743.597,16071.123,2.783,1873.865,2462.383,2822.438,2575.402,21
3-pre-election-weight-input-preparation,52.399,65.490,0.000,0.000,1153.749,1171.060,1171.060,2822.188,0.000,1
4.1-streamed-input-reception-and-aggregation,551750.978,557994.304,0.000,0.000,1162.257,1182.562,2372.784,2822.562,2409.867,52
4.2-tally-periodic-echo-tree,15.316,20.882,0.000,0.000,1174.782,1181.046,1181.046,2821.750,0.000,1
4.1-streamed-input-reception-and-aggregation,550204.430,557212.787,0.000,0.000,1178.770,1199.841,2409.881,2822.469,2442.246,51
4.2-tally-periodic-echo-tree,1419.538,1536.721,0.000,0.000,1191.311,1230.129,1283.404,2822.406,2244.660,1
4.1-streamed-input-reception-and-aggregation,547845.442,555247.209,0.000,0.000,1195.300,1214.797,2439.904,2822.375,2475.773,51
4.2-tally-periodic-echo-tree,1503.353,1619.468,0.000,0.000,1207.797,1229.858,1280.525,2822.344,1353.762,1
4.1-streamed-input-reception-and-aggregation,554790.208,562683.418,0.000,0.000,1195.783,1216.061,2441.977,2822.344,2475.039,51
4.2-tally-periodic-echo-tree,15.610,24.670,0.000,0.000,1208.285,1214.549,1214.549,2822.344,0.000,1
4.1-streamed-input-reception-and-aggregation,547989.598,555970.504,0.000,0.000,1212.272,1233.519,2474.870,2822.344,2509.980,50
4.2-tally-periodic-echo-tree,2882.694,2994.430,0.000,0.000,1224.738,1232.554,1360.028,2822.344,1384.840,1
4.3-tally-lagrange-indicator,1297.512,1352.559,0.000,0.000,1168.016,1209.810,1248.602,2822.312,1431.195,1
4.4-tally-delegate-support,1276.566,1286.298,0.000,0.000,1171.722,1236.578,1244.588,2822.281,1311.688,1
4.5-tally-dTilde,446.055,450.560,0.000,0.000,1171.723,1226.065,1226.065,2822.281,1311.688,1
4.6-tally-Dw+dTilde,27256.991,27542.102,0.000,0.000,1165.473,1183.804,11566.863,11690.312,11252.461,4
4.7-tally-vote-weight-product,1563.793,2303.827,0.000,0.000,1161.495,96.157,1254.550,11690.312,9032.773,1
5-threshold-decrypt-verify,45.910,88.693,37.247,75.369,31.578,9.802,9.802,11690.125,0.000,2
