phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,23.680,40.705,0.000,0.000,2.083,9.606,9.606,26.188,0.000,3
2-bgv-setup,15508.334,15899.083,15442.667,15809.736,9.633,1881.224,2383.486,2790.594,2796.996,19
3-pre-election-weight-input-preparation,775.757,864.143,0.000,0.000,1161.109,1298.434,1298.434,2790.594,2784.273,1
3.1-benchmark-input-fixture-preparation,35.878,48.835,0.000,0.000,1289.378,1300.419,1300.419,2790.594,0.000,1
4.1-streamed-input-reception-and-aggregation,127941.676,128993.408,0.000,0.000,1297.379,1489.525,1520.725,2790.594,1535.621,2
4.2-tally-periodic-echo-tree,298.895,300.572,0.000,0.000,1489.535,1555.807,1555.807,2790.500,0.000,1
4.1-streamed-input-reception-and-aggregation,1465.257,1490.687,0.000,0.000,1553.531,1752.601,1752.601,2790.594,1761.797,1
4.2-tally-periodic-echo-tree,23586.984,23821.058,0.000,0.000,1745.571,1845.684,3035.121,3086.531,3054.566,1
4.1-streamed-input-reception-and-aggregation,1559.557,1687.427,0.000,0.000,1809.599,2008.669,2008.669,3086.531,2241.875,1
4.2-tally-periodic-echo-tree,24129.387,24380.181,0.000,0.000,2001.639,1846.454,3304.418,3345.969,3324.520,1
4.1-streamed-input-reception-and-aggregation,1600.274,1735.603,0.000,0.000,1809.619,2009.190,2009.190,3346.531,2052.324,1
4.2-tally-periodic-echo-tree,283.529,285.010,0.000,0.000,2001.660,2067.933,2067.933,3346.281,0.000,1
4.1-streamed-input-reception-and-aggregation,1542.167,1554.921,0.000,0.000,2065.656,2264.724,2265.139,3346.531,2291.824,1
4.2-tally-periodic-echo-tree,47117.753,47596.021,0.000,0.000,2257.702,1846.497,4475.771,4530.500,4538.777,2
4.3-tally-lagrange-indicator,22184.276,22671.824,0.000,0.000,1413.124,1516.480,2281.840,4530.469,2388.066,1
4.4-tally-delegate-support,18341.205,18638.992,0.000,0.000,1476.886,1543.774,1794.441,4530.469,1813.801,1
4.5-tally-dTilde,6631.989,6751.044,0.000,0.000,1416.893,1384.241,1722.579,4530.469,1746.582,1
4.6-tally-Dw+dTilde,35736.918,36189.545,0.000,0.000,1320.636,1399.271,15222.906,15334.375,14630.742,4
4.7-tally-vote-weight-product,8295.573,9254.972,0.000,0.000,1316.705,163.112,1770.390,15334.406,8353.938,1
5-threshold-decrypt-verify,37.046,57.188,29.479,44.971,36.778,14.528,14.528,15334.062,0.000,1
