component,wall_ms,cpu_ms,notes
multiparty:public-key-generation,42.790,54.933,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:relinearization-key-generation,780.373,813.728,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:galois-key-generation,14619.502,14941.075,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
4.1-aggregate-initialization,7629.807,7963.783,server-side creation of encrypted zero period aggregates; excludes streamed voter inputs
4.1-simulated-client-input-preparation,0.000,0.000,"execution-mode=sampled-server-benchmark; encoding and encryption of incoming candidate, delegation, and shared-mask ciphertexts; excluded from server ingestion time"
4.1-server-aggregation,125273.105,126893.996,ciphertext additions into period aggregates; contains no input encoding or encryption
4.1-estimated-full-server-aggregation,626365.525,634469.980,"extrapolated from 100000 combined voter-period samples to n*T=500000; estimate, not directly measured"
multiparty:threshold-decryption,29.479,44.971,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
