component,wall_ms,cpu_ms,notes
multiparty:public-key-generation,44.703,51.021,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:relinearization-key-generation,768.266,796.812,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:galois-key-generation,14541.650,14817.506,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
4.1-aggregate-initialization,509.163,583.300,server-side creation of encrypted zero period aggregates; excludes streamed voter inputs
4.1-simulated-client-input-preparation,108507.264,109845.301,"execution-mode=fresh; encoding and encryption of incoming candidate, delegation, and shared-mask ciphertexts; excluded from server ingestion time"
4.1-server-aggregation,2170.000,2181.266,ciphertext additions into period aggregates; contains no input encoding or encryption
multiparty:threshold-decryption,36.487,62.480,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
