component,wall_ms,cpu_ms,notes
multiparty:public-key-generation,43.666,72.470,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:relinearization-key-generation,794.370,852.286,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:galois-key-generation,14791.660,15382.502,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
4.1-aggregate-initialization,36272.683,37702.134,server-side creation of encrypted zero period aggregates; excludes streamed voter inputs
4.1-simulated-client-input-preparation,0.000,0.000,"execution-mode=sampled-server-benchmark; encoding and encryption of incoming candidate, delegation, and shared-mask ciphertexts; excluded from server ingestion time"
4.1-server-aggregation,606535.365,614711.344,ciphertext additions into period aggregates; contains no input encoding or encryption
4.1-estimated-full-server-aggregation,3032676.828,3073556.720,"extrapolated from 500000 combined voter-period samples to n*T=2500000; estimate, not directly measured"
multiparty:threshold-decryption,34.387,52.997,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
