phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,0.121,0.121,0.000,0.000,0.547,0.568,0.568,7.438,0.000,1
2-bgv-setup,10999.226,11079.086,10945.208,11022.526,0.573,1872.148,2803.095,2819.375,2821.652,23
3-pre-election-weight-input-preparation,36.695,36.791,0.000,0.000,1152.033,1169.293,1169.293,2819.375,0.000,1
4.1-streamed-input-reception-and-aggregation,17160.603,17254.171,0.000,0.000,1160.534,1179.562,2218.846,2819.375,2328.891,3
4.2-tally-periodic-echo-sequential,291.369,316.792,0.000,0.000,1172.556,1212.075,1212.075,2819.250,0.000,1
4.1-streamed-input-reception-and-aggregation,17290.366,17346.671,0.000,0.000,1176.555,1196.583,2255.328,2819.312,2380.789,3
4.2-tally-periodic-echo-sequential,597.243,625.527,0.000,0.000,1188.575,1212.092,1225.674,2819.281,1521.750,1
4.1-streamed-input-reception-and-aggregation,17117.410,17191.679,0.000,0.000,1176.571,1195.580,2388.492,2819.281,2405.012,3
4.2-tally-periodic-echo-sequential,571.789,598.523,0.000,0.000,1188.586,1213.108,1249.268,2819.250,1322.992,1
4.1-streamed-input-reception-and-aggregation,17281.262,17303.143,0.000,0.000,1176.582,1196.353,2280.697,2819.250,2419.215,3
4.2-tally-periodic-echo-sequential,596.492,626.458,0.000,0.000,1188.598,1212.115,1256.304,2819.250,1322.836,1
4.1-streamed-input-reception-and-aggregation,17358.316,17399.991,0.000,0.000,1176.594,1195.609,2272.945,2819.250,2420.844,3
4.2-tally-periodic-echo-sequential,568.536,598.345,0.000,0.000,1188.603,1212.120,1260.323,2819.250,1324.258,1
4.3-tally-lagrange-indicator,1061.661,1066.237,0.000,0.000,1163.845,1207.116,1245.711,2819.250,1296.234,1
4.4-tally-delegate-support,866.131,866.994,0.000,0.000,1167.593,1233.874,1237.791,2819.250,1296.234,1
4.5-tally-dTilde,313.902,314.372,0.000,0.000,1167.594,1223.371,1223.371,2819.250,0.000,1
4.6-tally-Dw+dTilde,1038.275,1042.056,0.000,0.000,1161.343,1179.108,1504.014,2819.250,1500.648,1
4.7-tally-vote-weight-product,1128.912,1146.081,0.000,0.000,1157.344,93.451,1247.519,2819.250,1286.379,1
5-threshold-decrypt-verify,24.295,30.307,19.394,24.983,27.424,5.156,5.156,2819.281,0.000,2
