component,wall_ms,cpu_ms,notes
multiparty:public-key-generation,43.724,51.255,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:relinearization-key-generation,789.572,814.946,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:galois-key-generation,14423.399,14698.040,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
4.1-aggregate-initialization,966.208,1036.968,server-side creation of encrypted zero period aggregates; excludes streamed voter inputs
4.1-simulated-client-input-preparation,0.000,0.000,"execution-mode=sampled-server-benchmark; encoding and encryption of incoming candidate, delegation, and shared-mask ciphertexts; excluded from server ingestion time"
4.1-server-aggregation,12823.996,12980.469,ciphertext additions into period aggregates; contains no input encoding or encryption
4.1-estimated-full-server-aggregation,64119.982,64902.345,"extrapolated from 10000 combined voter-period samples to n*T=50000; estimate, not directly measured"
multiparty:threshold-decryption,32.776,67.539,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
