phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,0.205,0.204,0.000,0.000,0.547,0.567,0.567,7.438,0.000,1
2-bgv-setup,11037.269,11122.261,10980.630,11063.679,0.567,1872.124,2440.906,2987.344,2968.285,24
3-pre-election-weight-input-preparation,34.194,40.190,0.000,0.000,1152.037,1169.304,1169.304,2987.312,0.000,1
4.1-streamed-input-reception-and-aggregation,17351.367,17451.051,0.000,0.000,1160.545,1179.560,2304.923,2987.312,2366.957,3
4.2-tally-periodic-echo-sequential,333.223,361.066,0.000,0.000,1172.561,1212.080,1212.080,2987.281,0.000,1
4.1-streamed-input-reception-and-aggregation,17385.800,17450.243,0.000,0.000,1176.559,1195.582,2332.390,2987.281,2398.125,3
4.2-tally-periodic-echo-sequential,619.167,643.104,0.000,0.000,1188.576,1212.093,1212.093,2987.219,0.000,1
4.1-streamed-input-reception-and-aggregation,17263.762,17259.719,0.000,0.000,1176.572,1196.345,2321.181,2987.250,2421.637,3
4.2-tally-periodic-echo-sequential,634.648,661.748,0.000,0.000,1188.588,1212.105,1212.105,2987.250,0.000,1
4.1-streamed-input-reception-and-aggregation,17201.274,17263.054,0.000,0.000,1176.584,1195.600,2342.482,2987.250,2421.453,3
4.2-tally-periodic-echo-sequential,565.933,592.092,0.000,0.000,1188.603,1212.119,1212.119,2987.250,0.000,1
4.1-streamed-input-reception-and-aggregation,17351.931,17403.790,0.000,0.000,1176.599,1195.605,2340.278,2987.250,2368.480,3
4.2-tally-periodic-echo-sequential,572.371,603.858,0.000,0.000,1188.638,1212.623,1212.623,2987.250,0.000,1
4.3-tally-lagrange-indicator,1058.449,1062.804,0.000,0.000,1163.847,1207.118,1223.566,2987.250,1298.008,1
4.4-tally-delegate-support,870.633,874.085,0.000,0.000,1167.595,1233.876,1237.745,2987.250,1296.125,1
4.5-tally-dTilde,299.897,300.688,0.000,0.000,1167.596,1223.373,1223.373,2987.250,0.000,1
4.6-tally-Dw+dTilde,1061.281,1060.272,0.000,0.000,1161.345,1179.361,1227.024,2987.250,1293.992,1
4.7-tally-vote-weight-product,1069.259,1082.175,0.000,0.000,1157.345,93.450,1251.644,2987.250,1451.480,1
5-threshold-decrypt-verify,24.689,30.561,19.789,25.461,27.425,5.158,5.158,2987.281,0.000,2
