component,wall_ms,cpu_ms,notes
multiparty:public-key-generation,28.111,28.714,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:relinearization-key-generation,566.085,570.549,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:galois-key-generation,10386.433,10464.416,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
4.1-aggregate-initialization,402.144,419.348,server-side creation of encrypted zero period aggregates; excludes streamed voter inputs
4.1-simulated-client-input-preparation,84651.261,85021.877,"execution-mode=fresh; encoding and encryption of incoming candidate, delegation, and shared-mask ciphertexts; excluded from server ingestion time"
4.1-server-aggregation,1484.620,1377.918,ciphertext additions into period aggregates; contains no input encoding or encryption
multiparty:threshold-decryption,19.789,25.461,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
