component,wall_ms,cpu_ms,notes
multiparty:public-key-generation,34.733,35.435,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:relinearization-key-generation,565.424,569.374,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:galois-key-generation,10292.004,10367.943,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
4.1-aggregate-initialization,421.857,435.981,server-side creation of encrypted zero period aggregates; excludes streamed voter inputs
4.1-simulated-client-input-preparation,211152.058,212029.880,"execution-mode=fresh; encoding and encryption of incoming candidate, delegation, and shared-mask ciphertexts; excluded from server ingestion time"
4.1-server-aggregation,3585.098,3444.317,ciphertext additions into period aggregates; contains no input encoding or encryption
multiparty:threshold-decryption,19.574,23.352,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
