component,wall_ms,cpu_ms,notes
multiparty:public-key-generation,47.774,53.757,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:relinearization-key-generation,779.029,800.862,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:galois-key-generation,14818.754,15122.774,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
4.1-aggregate-initialization,504.639,574.805,server-side creation of encrypted zero period aggregates; excludes streamed voter inputs
4.1-simulated-client-input-preparation,2673151.909,2708783.768,"execution-mode=fresh; encoding and encryption of incoming candidate, delegation, and shared-mask ciphertexts; excluded from server ingestion time"
4.1-server-aggregation,59932.008,60100.808,ciphertext additions into period aggregates; contains no input encoding or encryption
multiparty:threshold-decryption,27.266,52.703,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
