experiment_id,strategy,execution_mode,run_kind,repetition,status,exit_code,elapsed_seconds,run_directory,log,parameter_id,workload_seed,process_peak_rss_mib
n1000-b5-k5-tree-none,tree-none,fresh,warmup,0,passed,0,589.8797967450228,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-6pv001bd/raw/20260908_200829_n1000_b5_k5_T5_3806984464,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-6pv001bd/logs/n1000-b5-k5-tree-none-warmup-0.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n1000-b5-k5-warmup-0,3252.59765625
n1000-b5-k5-tree-none,tree-none,fresh,measured,0,passed,0,588.7256227571052,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-6pv001bd/raw/20260908_201819_n1000_b5_k5_T5_1606741017,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-6pv001bd/logs/n1000-b5-k5-tree-none-measured-0.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n1000-b5-k5-measured-0,3245.33984375
n1000-b5-k5-tree-none,tree-none,fresh,measured,1,passed,0,585.6412271889858,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-6pv001bd/raw/20260908_202808_n1000_b5_k5_T5_1870712888,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-6pv001bd/logs/n1000-b5-k5-tree-none-measured-1.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n1000-b5-k5-measured-1,3252.2109375
n1000-b5-k5-tree-none,tree-none,fresh,measured,2,passed,0,586.46705225599,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-6pv001bd/raw/20260908_203753_n1000_b5_k5_T5_3431360346,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-6pv001bd/logs/n1000-b5-k5-tree-none-measured-2.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n1000-b5-k5-measured-2,3254.17578125
n1000-b5-k5-sequential-none,sequential-none,fresh,warmup,0,passed,0,565.7820186750032,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-6pv001bd/raw/20260908_204740_n1000_b5_k5_T5_3011778961,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-6pv001bd/logs/n1000-b5-k5-sequential-none-warmup-0.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n1000-b5-k5-warmup-0,3251.75
n1000-b5-k5-sequential-none,sequential-none,fresh,measured,0,passed,0,567.2199247719254,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-6pv001bd/raw/20260908_205706_n1000_b5_k5_T5_3838967693,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-6pv001bd/logs/n1000-b5-k5-sequential-none-measured-0.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n1000-b5-k5-measured-0,3251.9453125
n1000-b5-k5-sequential-none,sequential-none,fresh,measured,1,passed,0,576.1194038749672,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-6pv001bd/raw/20260908_210633_n1000_b5_k5_T5_2219092483,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-6pv001bd/logs/n1000-b5-k5-sequential-none-measured-1.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n1000-b5-k5-measured-1,3251.046875
n1000-b5-k5-sequential-none,sequential-none,fresh,measured,2,passed,0,578.7006159308366,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-6pv001bd/raw/20260908_211609_n1000_b5_k5_T5_2630045423,/home/mbotelho/coercion_resistant_voting/experiments/results/n1000-6pv001bd/logs/n1000-b5-k5-sequential-none-measured-2.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n1000-b5-k5-measured-2,3254.2265625
