component,wall_ms,cpu_ms,notes
multiparty:public-key-generation,45.192,52.689,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:relinearization-key-generation,795.191,817.620,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:galois-key-generation,14629.105,14901.136,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
4.1-aggregate-initialization,519.058,603.571,server-side creation of encrypted zero period aggregates; excludes streamed voter inputs
4.1-simulated-client-input-preparation,2674454.213,2709936.114,"execution-mode=fresh; encoding and encryption of incoming candidate, delegation, and shared-mask ciphertexts; excluded from server ingestion time"
4.1-server-aggregation,57713.316,57810.775,ciphertext additions into period aggregates; contains no input encoding or encryption
multiparty:threshold-decryption,35.646,67.547,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
