phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,72.903,84.930,0.000,0.000,0.554,15.829,15.829,31.406,0.000,5
2-bgv-setup,10922.247,11011.474,10857.297,10955.505,15.835,1887.386,2854.365,2867.344,2853.008,17
3-pre-election-weight-input-preparation,475.690,504.170,0.000,0.000,1167.292,1304.571,1304.571,2867.344,0.000,1
4.1-streamed-input-reception-and-aggregation,8522280.003,8542549.771,0.000,0.000,1299.561,1500.647,3015.428,3027.125,3037.223,810
4.2-tally-periodic-echo-tree,5088.376,5209.331,0.000,0.000,1493.647,1593.429,1914.395,3027.094,2497.973,1
4.1-streamed-input-reception-and-aggregation,1224.953,1230.923,0.000,0.000,1557.656,1756.690,1756.690,3027.062,1744.520,1
4.2-tally-periodic-echo-tree,23291.349,23562.679,0.000,0.000,1749.684,1850.225,3179.054,3235.062,3195.848,1
4.1-streamed-input-reception-and-aggregation,1215.980,1263.557,0.000,0.000,1813.693,2013.230,2014.278,3235.062,2531.609,1
4.2-tally-periodic-echo-tree,23605.723,23884.773,0.000,0.000,2005.721,1851.479,3433.907,3491.062,3451.133,1
4.1-streamed-input-reception-and-aggregation,1231.658,1297.351,0.000,0.000,1813.696,2013.484,2015.561,3491.062,2716.641,1
4.2-tally-periodic-echo-tree,4835.275,4857.078,0.000,0.000,2005.726,2106.549,2425.204,3491.031,2448.867,1
4.1-streamed-input-reception-and-aggregation,1205.483,1211.172,0.000,0.000,2069.734,2268.768,2268.768,3491.031,2301.293,1
4.2-tally-periodic-echo-tree,40636.487,41091.770,0.000,0.000,2261.762,1851.234,4497.198,4527.031,4541.273,2
4.3-tally-lagrange-indicator,16811.724,17052.888,0.000,0.000,1421.150,1526.694,2275.018,4527.031,2332.375,1
4.4-tally-delegate-support,14688.004,14875.578,0.000,0.000,1484.907,1551.702,1813.511,4527.031,2323.348,1
4.5-tally-dTilde,5059.635,5093.925,0.000,0.000,1424.901,1393.191,1707.682,4527.031,1725.520,1
4.6-tally-Dw+dTilde,26865.939,26788.585,0.000,0.000,1328.639,1406.672,14828.300,15343.031,14279.746,4
4.7-tally-vote-weight-product,6373.341,6721.687,0.000,0.000,1324.653,171.906,1785.562,15343.000,13972.645,1
5-threshold-decrypt-verify,24.260,27.873,18.830,22.346,44.868,22.612,22.612,15342.625,0.000,1
