phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,1.218,1.265,0.000,0.000,2.084,2.767,2.767,10.594,0.000,1
2-bgv-setup,16007.100,16357.353,15915.373,16237.595,2.767,1873.935,2592.685,2990.594,3005.770,22
3-pre-election-weight-input-preparation,87.294,116.328,0.000,0.000,1153.751,1179.058,1179.058,2990.469,0.000,1
3.1-benchmark-input-fixture-preparation,38.665,52.768,0.000,0.000,1170.004,1181.045,1181.045,2990.281,0.000,1
4.1-streamed-input-reception-and-aggregation,12768.989,12971.124,0.000,0.000,1174.505,1205.573,1212.089,2990.562,1313.641,1
4.2-tally-periodic-echo-tree,63.319,65.786,0.000,0.000,1198.538,1208.803,1208.908,2990.562,1313.652,1
4.1-streamed-input-reception-and-aggregation,184.147,185.037,0.000,0.000,1206.526,1237.570,1237.570,2990.562,0.000,1
4.2-tally-periodic-echo-tree,2849.235,2869.306,0.000,0.000,1230.543,1272.610,1421.578,2990.531,1443.922,1
4.1-streamed-input-reception-and-aggregation,185.944,191.116,0.000,0.000,1238.534,1269.577,1269.577,2990.281,0.000,1
4.2-tally-periodic-echo-tree,2783.393,2810.818,0.000,0.000,1262.550,1272.612,1453.586,2990.531,1475.957,1
4.1-streamed-input-reception-and-aggregation,195.763,209.093,0.000,0.000,1238.537,1269.581,1269.581,2990.250,0.000,1
4.2-tally-periodic-echo-tree,35.026,35.161,0.000,0.000,1262.554,1272.818,1272.818,2989.812,0.000,1
4.1-streamed-input-reception-and-aggregation,190.618,191.551,0.000,0.000,1270.542,1301.586,1301.586,2990.469,0.000,1
4.2-tally-periodic-echo-tree,5575.746,5624.187,0.000,0.000,1294.559,1272.622,1610.573,2990.500,1632.223,1
4.3-tally-lagrange-indicator,2626.520,2684.018,0.000,0.000,1181.547,1227.375,1296.383,2990.500,1329.562,1
4.4-tally-delegate-support,2471.496,2498.312,0.000,0.000,1189.286,1254.150,1274.497,2990.500,1329.570,1
4.5-tally-dTilde,855.846,867.026,0.000,0.000,1185.288,1233.637,1266.078,2990.500,1323.570,1
4.6-tally-Dw+dTilde,35355.424,35711.810,0.000,0.000,1173.038,1195.644,15088.255,15198.344,14380.352,4
4.7-tally-vote-weight-product,2442.753,3388.436,0.000,0.000,1169.080,98.999,1287.608,15198.438,11461.621,1
5-threshold-decrypt-verify,38.360,76.491,30.660,63.487,29.171,7.399,7.399,15198.062,0.000,2
