phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,2.744,2.834,0.000,0.000,0.560,1.312,1.312,7.438,0.000,1
2-bgv-setup,10965.333,11043.919,10912.523,10987.779,1.312,1872.882,2908.273,2923.344,2928.902,22
3-pre-election-weight-input-preparation,35.682,43.896,0.000,0.000,1152.775,1170.042,1170.042,2923.250,0.000,1
4.1-streamed-input-reception-and-aggregation,425026.073,426472.757,0.000,0.000,1161.288,1180.495,2372.405,2923.281,2395.305,52
4.2-tally-periodic-echo-sequential,332.355,358.300,0.000,0.000,1173.489,1213.009,1213.009,2923.094,0.000,1
4.1-streamed-input-reception-and-aggregation,426318.992,427707.619,0.000,0.000,1177.488,1196.625,2405.918,2923.125,2428.059,51
4.2-tally-periodic-echo-sequential,578.706,615.077,0.000,0.000,1189.619,1213.139,1226.947,2923.094,1597.047,1
4.1-streamed-input-reception-and-aggregation,424397.499,425952.697,0.000,0.000,1177.616,1197.237,2402.998,2923.094,2428.703,51
4.2-tally-periodic-echo-sequential,569.436,601.817,0.000,0.000,1189.730,1213.249,1216.161,2923.094,1828.035,1
4.1-streamed-input-reception-and-aggregation,427153.101,428299.371,0.000,0.000,1177.726,1198.363,2404.220,2923.125,2428.102,51
4.2-tally-periodic-echo-sequential,607.065,634.945,0.000,0.000,1189.855,1213.372,1241.980,2923.094,1325.320,1
4.1-streamed-input-reception-and-aggregation,427446.465,428774.259,0.000,0.000,1177.851,1197.418,2401.364,2923.125,2428.492,51
4.2-tally-periodic-echo-sequential,565.913,596.560,0.000,0.000,1189.909,1213.426,1227.608,2923.094,1633.691,1
4.3-tally-lagrange-indicator,1063.466,1073.860,0.000,0.000,1165.151,1208.424,1227.489,2923.094,1299.332,1
4.4-tally-delegate-support,870.066,873.763,0.000,0.000,1168.899,1235.179,1239.648,2923.094,1299.332,1
4.5-tally-dTilde,341.592,342.469,0.000,0.000,1168.899,1224.676,1224.676,2923.094,0.000,1
4.6-tally-Dw+dTilde,20476.961,20428.875,0.000,0.000,1162.649,1180.420,11520.006,11667.031,11196.773,4
4.7-tally-vote-weight-product,1087.826,1285.961,0.000,0.000,1158.656,95.014,1249.426,11667.062,7328.797,1
5-threshold-decrypt-verify,24.363,31.121,19.442,25.974,28.741,6.479,6.479,11666.969,0.000,2
