phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,5.714,6.585,0.000,0.000,0.554,2.088,2.088,7.438,0.000,2
2-bgv-setup,11011.849,11097.462,10952.841,11034.179,2.093,1873.639,2977.377,3027.375,2989.723,22
3-pre-election-weight-input-preparation,65.160,88.251,0.000,0.000,1153.556,1178.820,1178.820,3027.375,0.000,1
4.1-streamed-input-reception-and-aggregation,847445.222,850286.857,0.000,0.000,1170.310,1202.895,2411.402,3027.375,2439.102,101
4.2-tally-periodic-echo-sequential,578.790,613.027,0.000,0.000,1194.635,1238.156,1274.557,3027.125,1330.375,1
4.1-streamed-input-reception-and-aggregation,150.672,151.045,0.000,0.000,1202.635,1233.646,1233.646,3027.125,0.000,1
4.2-tally-periodic-echo-sequential,1204.570,1208.590,0.000,0.000,1226.640,1238.156,1306.612,3027.094,1330.375,1
4.1-streamed-input-reception-and-aggregation,159.034,159.572,0.000,0.000,1202.635,1233.647,1233.647,3027.000,0.000,1
4.2-tally-periodic-echo-sequential,1142.692,1150.233,0.000,0.000,1226.641,1238.158,1278.488,3027.094,1340.289,1
4.1-streamed-input-reception-and-aggregation,149.788,151.411,0.000,0.000,1202.635,1233.647,1233.647,3027.094,1361.426,1
4.2-tally-periodic-echo-sequential,1131.848,1135.886,0.000,0.000,1226.643,1238.158,1318.692,3027.094,1340.117,1
4.1-streamed-input-reception-and-aggregation,150.241,150.713,0.000,0.000,1202.637,1233.649,1233.649,3027.094,0.000,1
4.2-tally-periodic-echo-sequential,1125.227,1132.561,0.000,0.000,1226.643,1238.161,1298.590,3027.094,1340.039,1
4.3-tally-lagrange-indicator,2268.953,2276.939,0.000,0.000,1181.633,1228.904,1285.926,3027.094,1316.305,1
4.4-tally-delegate-support,1707.535,1719.044,0.000,0.000,1189.381,1256.172,1276.716,3027.094,1326.402,1
4.5-tally-dTilde,602.826,605.615,0.000,0.000,1185.381,1235.163,1263.752,3027.094,1322.418,1
4.6-tally-Dw+dTilde,26395.192,26402.477,0.000,0.000,1173.130,1195.660,14804.946,15167.062,14139.984,4
4.7-tally-vote-weight-product,1506.498,1821.272,0.000,0.000,1169.146,99.258,1284.006,15167.031,12476.152,1
5-threshold-decrypt-verify,25.031,32.501,19.531,25.571,29.235,6.973,6.973,15166.594,0.000,2
