phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,0.186,0.186,0.000,0.000,0.559,0.569,0.569,7.438,0.000,1
2-bgv-setup,11057.295,11138.636,11006.592,11085.068,0.569,1871.622,2589.213,2663.375,2671.203,23
3-pre-election-weight-input-preparation,36.934,41.618,0.000,0.000,1151.527,1168.789,1168.789,2663.250,0.000,1
4.1-streamed-input-reception-and-aggregation,17436.782,17506.202,0.000,0.000,1160.030,1179.056,2300.152,2663.344,2337.449,3
4.2-tally-periodic-echo-tree,303.733,325.641,0.000,0.000,1172.050,1210.069,1210.069,2663.312,0.000,1
4.1-streamed-input-reception-and-aggregation,17250.781,17312.779,0.000,0.000,1176.049,1195.064,2367.429,2663.312,2391.582,3
4.2-tally-periodic-echo-tree,1366.946,1397.294,0.000,0.000,1188.064,1226.084,1270.342,2663.281,1321.824,1
4.1-streamed-input-reception-and-aggregation,17572.714,17628.148,0.000,0.000,1192.062,1211.835,2342.320,2663.281,2452.738,3
4.2-tally-periodic-echo-tree,1352.401,1381.001,0.000,0.000,1204.078,1226.094,1286.368,2663.281,1341.062,1
4.1-streamed-input-reception-and-aggregation,17119.581,17202.571,0.000,0.000,1192.074,1211.090,2381.481,2663.281,2400.332,3
4.2-tally-periodic-echo-tree,319.621,347.109,0.000,0.000,1204.091,1242.111,1254.238,2663.281,1340.465,1
4.1-streamed-input-reception-and-aggregation,17145.907,17228.035,0.000,0.000,1208.090,1227.349,2446.469,2663.281,2464.195,3
4.2-tally-periodic-echo-tree,2557.486,2594.108,0.000,0.000,1220.098,1226.868,1358.701,2663.281,1376.227,1
4.3-tally-lagrange-indicator,1014.816,1018.547,0.000,0.000,1163.336,1205.107,1209.464,2663.281,1296.422,1
4.4-tally-delegate-support,876.846,881.403,0.000,0.000,1167.084,1231.865,1231.865,2663.281,1296.422,1
4.5-tally-dTilde,294.300,295.952,0.000,0.000,1167.084,1221.361,1243.218,2663.281,1296.422,1
4.6-tally-Dw+dTilde,1058.140,1063.402,0.000,0.000,1160.834,1178.599,1653.108,2663.281,1630.453,1
4.7-tally-vote-weight-product,1050.973,1064.890,0.000,0.000,1156.834,91.441,1245.542,2663.281,1286.082,1
5-threshold-decrypt-verify,24.795,31.367,19.745,25.109,26.916,5.151,5.151,2663.312,0.000,2
