component,wall_ms,cpu_ms,notes
multiparty:public-key-generation,45.022,51.424,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:relinearization-key-generation,764.650,794.178,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
multiparty:galois-key-generation,14037.830,14305.382,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
4.1-aggregate-initialization,514.948,640.114,server-side creation of encrypted zero period aggregates; excludes streamed voter inputs
4.1-simulated-client-input-preparation,108736.366,110031.928,"execution-mode=fresh; encoding and encryption of incoming candidate, delegation, and shared-mask ciphertexts; excluded from server ingestion time"
4.1-server-aggregation,2153.005,2167.321,ciphertext additions into period aggregates; contains no input encoding or encryption
multiparty:threshold-decryption,34.455,59.951,"whole local multiparty protocol, including party and coordinator work; no network latency; overlaps containing phases"
