experiment_id,parameter_id,metric,samples,median,min,max
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.1-streamed-input-reception-and-aggregation:wall_ms,3,2734667.968,2733894.199,2734835.109
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.2-tally-periodic-echo-sequential:cpu_ms,3,1864.2659999999998,1859.066,1898.9099999999999
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.2-tally-periodic-echo-sequential:multiparty_cpu_ms,3,0.0,0.0,0.0
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.2-tally-periodic-echo-sequential:multiparty_wall_ms,3,0.0,0.0,0.0
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.2-tally-periodic-echo-sequential:wall_ms,3,1593.962,1571.487,1618.099
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.3-tally-lagrange-indicator:cpu_ms,3,1371.692,1330.013,1388.218
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.3-tally-lagrange-indicator:multiparty_cpu_ms,3,0.0,0.0,0.0
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.3-tally-lagrange-indicator:multiparty_wall_ms,3,0.0,0.0,0.0
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.3-tally-lagrange-indicator:wall_ms,3,1332.372,1319.496,1360.872
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.4-tally-delegate-support:cpu_ms,3,1327.544,1271.006,1504.786
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.4-tally-delegate-support:multiparty_cpu_ms,3,0.0,0.0,0.0
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.4-tally-delegate-support:multiparty_wall_ms,3,0.0,0.0,0.0
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.4-tally-delegate-support:wall_ms,3,1270.642,1214.671,1443.319
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.5-tally-dTilde:cpu_ms,3,428.959,418.251,451.955
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.5-tally-dTilde:multiparty_cpu_ms,3,0.0,0.0,0.0
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.5-tally-dTilde:multiparty_wall_ms,3,0.0,0.0,0.0
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.5-tally-dTilde:wall_ms,3,423.978,415.691,447.35
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.6-tally-Dw+dTilde:cpu_ms,3,28241.405,28222.936,28456.01
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.6-tally-Dw+dTilde:multiparty_cpu_ms,3,0.0,0.0,0.0
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.6-tally-Dw+dTilde:multiparty_wall_ms,3,0.0,0.0,0.0
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.6-tally-Dw+dTilde:wall_ms,3,27956.358,27948.863,28196.994
n5000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.7-tally-vote-weight-product:cpu_ms,3,2174.849,2149.606,2312.866
