phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,2.548,2.548,0.000,0.000,0.554,1.312,1.312,11.406,0.000,1
2-bgv-setup,10894.291,10972.689,10841.013,10917.413,1.312,1872.618,2342.084,2959.344,2459.527,22
3-pre-election-weight-input-preparation,37.478,47.303,0.000,0.000,1116.519,1133.782,1133.782,2959.344,2624.074,1
4.1-streamed-input-reception-and-aggregation,426127.757,427517.770,0.000,0.000,1125.022,1144.742,2295.525,2959.344,2322.926,54
4.2-tally-periodic-echo-sequential,291.315,318.287,0.000,0.000,1137.235,1176.754,1176.754,2959.156,0.000,1
4.1-streamed-input-reception-and-aggregation,426466.651,427822.544,0.000,0.000,1141.234,1160.355,2330.570,2959.188,2355.992,53
4.2-tally-periodic-echo-sequential,564.724,593.111,0.000,0.000,1153.394,1176.878,1176.878,2959.094,2273.668,1
4.1-streamed-input-reception-and-aggregation,426953.536,428176.362,0.000,0.000,1141.357,1161.235,2332.244,2959.094,2356.203,53
4.2-tally-periodic-echo-sequential,564.537,592.903,0.000,0.000,1153.478,1176.995,1213.524,2959.031,1286.477,1
4.1-streamed-input-reception-and-aggregation,426899.542,428270.215,0.000,0.000,1141.474,1160.603,2330.878,2959.062,2357.957,53
4.2-tally-periodic-echo-sequential,571.594,602.729,0.000,0.000,1153.599,1177.116,1177.116,2959.062,0.000,1
4.1-streamed-input-reception-and-aggregation,428307.402,429727.025,0.000,0.000,1141.595,1161.417,2332.184,2959.094,2356.844,53
4.2-tally-periodic-echo-sequential,567.560,597.135,0.000,0.000,1153.660,1177.177,1177.177,2959.094,0.000,1
4.3-tally-lagrange-indicator,1104.839,1108.417,0.000,0.000,1128.902,1172.173,1181.155,2959.094,1258.949,1
4.4-tally-delegate-support,876.627,886.591,0.000,0.000,1132.650,1199.184,1200.876,2959.094,1258.949,1
4.5-tally-dTilde,308.632,310.310,0.000,0.000,1132.650,1188.428,1211.378,2959.062,1258.949,1
4.6-tally-Dw+dTilde,20004.655,19988.387,0.000,0.000,1126.400,1144.676,11630.845,11655.062,11266.777,4
4.7-tally-vote-weight-product,1115.000,1317.090,0.000,0.000,1122.413,94.774,1213.218,11655.000,4415.637,1
5-threshold-decrypt-verify,25.562,32.546,20.012,25.045,28.747,6.480,6.480,11654.969,0.000,2
