experiment_id,parameter_file,family,n,b,k,T,candidate_logN,voters_per_ciphertext,ciphertext_blocks,max_submissions_per_block_per_period,fresh_input_additions_all_periods,benchmark_input_additions,period_accumulator_encryptions,echo_ct_multiplications,echo_ct_additions,echo_multiplication_depth,majority_polynomial_evaluations,downstream_ct_multiplications_excluding_polynomial,downstream_multiplication_depth,uninterrupted_depth,final_refresh_ciphertexts,intermediate_refresh_ciphertexts,cli_refresh_mode,cli_refresh_interval,minimum_Q_prime_count_in_current_loader,Q_selection_status
n500-b3-k100-tree-final,parameters/b3-k100/tree-final-50k.json,tree-final-refresh,500,3,100,5,14,162,4,162,7500,1500,60,168,128,4,8,12,5,5,8,0,collective,0,4,see-B3_PARAMETER_VALIDATION.md
n500-b3-k100-sequential-none,parameters/b3-k100/sequential-none-50k.json,sequential-none,500,3,100,5,15,326,2,326,7500,1500,30,36,32,5,4,6,5,10,0,0,none,0,4,see-B3_PARAMETER_VALIDATION.md
n500-b3-k100-sequential-final,parameters/b3-k100/sequential-final-50k.json,sequential-final-refresh,500,3,100,5,14,162,4,162,7500,1500,60,72,64,5,8,12,5,5,8,0,collective,5,4,see-B3_PARAMETER_VALIDATION.md
n1k-b3-k100-tree-none,parameters/b3-k100/tree-none-50k.json,tree-none,1000,3,100,5,15,326,4,326,15000,3000,60,168,128,4,8,12,5,9,0,0,none,0,4,see-B3_PARAMETER_VALIDATION.md
n1k-b3-k100-tree-final,parameters/b3-k100/tree-final-50k.json,tree-final-refresh,1000,3,100,5,14,162,7,162,15000,3000,105,294,224,4,14,21,5,5,14,0,collective,0,4,see-B3_PARAMETER_VALIDATION.md
n1k-b3-k100-sequential-none,parameters/b3-k100/sequential-none-50k.json,sequential-none,1000,3,100,5,15,326,4,326,15000,3000,60,72,64,5,8,12,5,10,0,0,none,0,4,see-B3_PARAMETER_VALIDATION.md
n1k-b3-k100-sequential-final,parameters/b3-k100/sequential-final-50k.json,sequential-final-refresh,1000,3,100,5,14,162,7,162,15000,3000,105,126,112,5,14,21,5,5,14,0,collective,5,4,see-B3_PARAMETER_VALIDATION.md
n5k-b3-k100-tree-none,parameters/b3-k100/tree-none-50k.json,tree-none,5000,3,100,5,15,326,16,326,75000,15000,240,672,512,4,32,48,5,9,0,0,none,0,4,see-B3_PARAMETER_VALIDATION.md
n5k-b3-k100-tree-final,parameters/b3-k100/tree-final-50k.json,tree-final-refresh,5000,3,100,5,14,162,31,162,75000,15000,465,1302,992,4,62,93,5,5,62,0,collective,0,4,see-B3_PARAMETER_VALIDATION.md
n5k-b3-k100-sequential-none,parameters/b3-k100/sequential-none-50k.json,sequential-none,5000,3,100,5,15,326,16,326,75000,15000,240,288,256,5,32,48,5,10,0,0,none,0,4,see-B3_PARAMETER_VALIDATION.md
