experiment_id,parameter_file,logN,logQ_bits,logP_bits,plaintext_modulus,Q_primes,P_primes,lattice_security_bits,security_method,voters_per_ciphertext,ciphertexts,refresh_boundaries,refresh_ciphertexts,ingestion_periods_measured,input_additions_measured_max,active_period_accumulator_ciphertexts,active_period_accumulator_coefficient_gib,total_period_accumulator_ciphertexts_created,synthetic_trials,synthetic_min_margin_bits,synthetic_status
n200-b3-k100-sequential-none,parameters/b3-k100/sequential-none-50k.json,15,479.99999997908566,60.99999999999873,65537,8,1,185.42,fresh-exact-modulus-estimate,326,1,0,0,5,3000,3,0.01171875,15,4,62.969214,passed-masked-echo-v3-synthetic-screen
n200-b3-k100-sequential-final,parameters/b3-k100/sequential-final-50k.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,162,2,1,4,5,3000,6,0.0087890625,30,5,43.975856,passed-masked-echo-v3-synthetic-screen
n500-b3-k100-tree-none,parameters/b3-k100/tree-none-50k.json,15,479.99999997908566,60.99999999999873,65537,8,1,185.42,fresh-exact-modulus-estimate,326,2,0,0,5,7500,6,0.0234375,30,4,92.845696,passed-masked-echo-v3-synthetic-screen
n500-b3-k100-tree-final,parameters/b3-k100/tree-final-50k.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,162,4,1,8,5,7500,12,0.017578125,60,5,43.441792,passed-masked-echo-v3-synthetic-screen
n500-b3-k100-sequential-none,parameters/b3-k100/sequential-none-50k.json,15,479.99999997908566,60.99999999999873,65537,8,1,185.42,fresh-exact-modulus-estimate,326,2,0,0,5,7500,6,0.0234375,30,4,62.969214,passed-masked-echo-v3-synthetic-screen
n500-b3-k100-sequential-final,parameters/b3-k100/sequential-final-50k.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,162,4,1,8,5,7500,12,0.017578125,60,5,43.975856,passed-masked-echo-v3-synthetic-screen
n1k-b3-k100-tree-none,parameters/b3-k100/tree-none-50k.json,15,479.99999997908566,60.99999999999873,65537,8,1,185.42,fresh-exact-modulus-estimate,326,4,0,0,5,15000,12,0.046875,60,4,92.845696,passed-masked-echo-v3-synthetic-screen
n1k-b3-k100-tree-final,parameters/b3-k100/tree-final-50k.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,162,7,1,14,5,15000,21,0.03076171875,105,5,43.441792,passed-masked-echo-v3-synthetic-screen
n1k-b3-k100-sequential-none,parameters/b3-k100/sequential-none-50k.json,15,479.99999997908566,60.99999999999873,65537,8,1,185.42,fresh-exact-modulus-estimate,326,4,0,0,5,15000,12,0.046875,60,4,62.969214,passed-masked-echo-v3-synthetic-screen
n1k-b3-k100-sequential-final,parameters/b3-k100/sequential-final-50k.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,162,7,1,14,5,15000,21,0.03076171875,105,5,43.975856,passed-masked-echo-v3-synthetic-screen
n5k-b3-k100-tree-none,parameters/b3-k100/tree-none-50k.json,15,479.99999997908566,60.99999999999873,65537,8,1,185.42,fresh-exact-modulus-estimate,326,16,0,0,5,75000,48,0.1875,240,4,92.845696,passed-masked-echo-v3-synthetic-screen
n5k-b3-k100-tree-final,parameters/b3-k100/tree-final-50k.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,162,31,1,62,5,75000,93,0.13623046875,465,5,43.441792,passed-masked-echo-v3-synthetic-screen
n5k-b3-k100-sequential-none,parameters/b3-k100/sequential-none-50k.json,15,479.99999997908566,60.99999999999873,65537,8,1,185.42,fresh-exact-modulus-estimate,326,16,0,0,5,75000,48,0.1875,240,4,62.969214,passed-masked-echo-v3-synthetic-screen
n5k-b3-k100-sequential-final,parameters/b3-k100/sequential-final-50k.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,162,31,1,62,5,75000,93,0.13623046875,465,5,43.975856,passed-masked-echo-v3-synthetic-screen
n10k-b3-k100-tree-none,parameters/b3-k100/tree-none-50k.json,15,479.99999997908566,60.99999999999873,65537,8,1,185.42,fresh-exact-modulus-estimate,326,31,0,0,1,30000,93,0.36328125,465,4,92.845696,passed-masked-echo-v3-synthetic-screen
n10k-b3-k100-tree-final,parameters/b3-k100/tree-final-50k.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,162,62,1,124,1,30000,186,0.2724609375,930,5,43.441792,passed-masked-echo-v3-synthetic-screen
n10k-b3-k100-sequential-none,parameters/b3-k100/sequential-none-50k.json,15,479.99999997908566,60.99999999999873,65537,8,1,185.42,fresh-exact-modulus-estimate,326,31,0,0,1,30000,93,0.36328125,465,4,62.969214,passed-masked-echo-v3-synthetic-screen
n10k-b3-k100-sequential-final,parameters/b3-k100/sequential-final-50k.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,162,62,1,124,1,30000,186,0.2724609375,930,5,43.975856,passed-masked-echo-v3-synthetic-screen
n25k-b3-k100-tree-none,parameters/b3-k100/tree-none-50k.json,15,479.99999997908566,60.99999999999873,65537,8,1,185.42,fresh-exact-modulus-estimate,326,77,0,0,1,75000,231,0.90234375,1155,4,92.845696,passed-masked-echo-v3-synthetic-screen
n25k-b3-k100-tree-final,parameters/b3-k100/tree-final-50k.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,162,155,1,310,1,75000,465,0.68115234375,2325,5,43.441792,passed-masked-echo-v3-synthetic-screen
n25k-b3-k100-sequential-none,parameters/b3-k100/sequential-none-50k.json,15,479.99999997908566,60.99999999999873,65537,8,1,185.42,fresh-exact-modulus-estimate,326,77,0,0,1,75000,231,0.90234375,1155,4,62.969214,passed-masked-echo-v3-synthetic-screen
n25k-b3-k100-sequential-final,parameters/b3-k100/sequential-final-50k.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,162,155,1,310,1,75000,465,0.68115234375,2325,5,43.975856,passed-masked-echo-v3-synthetic-screen
n50k-b3-k100-tree-none,parameters/b3-k100/tree-none-50k.json,15,479.99999997908566,60.99999999999873,65537,8,1,185.42,fresh-exact-modulus-estimate,326,154,0,0,1,150000,462,1.8046875,2310,4,92.845696,passed-masked-echo-v3-synthetic-screen
n50k-b3-k100-tree-final,parameters/b3-k100/tree-final-50k.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,162,309,1,618,1,150000,927,1.35791015625,4635,5,43.441792,passed-masked-echo-v3-synthetic-screen
n50k-b3-k100-sequential-none,parameters/b3-k100/sequential-none-50k.json,15,479.99999997908566,60.99999999999873,65537,8,1,185.42,fresh-exact-modulus-estimate,326,154,0,0,1,150000,462,1.8046875,2310,4,62.969214,passed-masked-echo-v3-synthetic-screen
n50k-b3-k100-sequential-final,parameters/b3-k100/sequential-final-50k.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,162,309,1,618,1,150000,927,1.35791015625,4635,5,43.975856,passed-masked-echo-v3-synthetic-screen
n100k-b3-k100-tree-none,parameters/b3-k100/tree-none-100k.json,15,479.9999992503115,60.99999999999873,786433,8,1,185.42,fresh-exact-modulus-estimate,326,307,0,0,1,300000,921,3.59765625,4605,5,48.581362,passed-masked-echo-v3-synthetic-screen
n100k-b3-k100-tree-final,parameters/b3-k100/tree-final-100k.json,15,359.99999276775327,119.99999999996564,786433,6,2,217.83200000000113,fresh-exact-modulus-estimate,326,307,1,614,1,300000,921,2.6982421875,4605,5,80.445998,passed-masked-echo-v3-synthetic-screen
n100k-b3-k100-sequential-none,parameters/b3-k100/sequential-none-100k.json,15,539.9999969249108,119.99999999995342,786433,9,2,140.7440000000088,fresh-exact-modulus-estimate,326,307,0,0,1,300000,921,4.04736328125,4605,4,73.037537,passed-masked-echo-v3-synthetic-screen
n100k-b3-k100-sequential-final,parameters/b3-k100/sequential-final-100k.json,15,359.99999276775327,119.99999999996564,786433,6,2,217.83200000000113,fresh-exact-modulus-estimate,326,307,1,614,1,300000,921,2.6982421875,4605,5,80.038737,passed-masked-echo-v3-synthetic-screen
