family,repetition,workload,probe_n,target_n,status,exit_code,min_margin_bits,elapsed_seconds,run_directory,log,tally_flow,parameter_file
tree-final-t65537-b5-k5-tree-final,20,balanced,6,50000,passed,0,51.910438,5.122332582999661,experiments/validation/final-refresh-20260908/raw/20260908_184511_n6_b5_k5_T5_1884626170,experiments/validation/final-refresh-20260908/tree-collective-n50000-q288-balanced-20.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-final-t65537.json
tree-final-t65537-b5-k5-tree-final,21,carry,6,50000,passed,0,49.804907,5.227521166001679,experiments/validation/final-refresh-20260908/raw/20260908_184516_n6_b5_k5_T5_2645773449,experiments/validation/final-refresh-20260908/tree-collective-n50000-q288-carry-21.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-final-t65537.json
tree-final-t65537-b5-k5-tree-final,10,random,6,50000,passed,0,47.702018,4.775681166996947,experiments/validation/final-refresh-20260908/raw/20260908_184034_n6_b5_k5_T5_3252171895,experiments/validation/final-refresh-20260908/tree-collective-n50000-q288-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-final-t65537.json
tree-final-t786433-b5-k5-tree-final,20,balanced,6,500000,passed,0,80.171103,7.7218138329990325,experiments/validation/final-refresh-20260908/raw/20260908_184632_n6_b5_k5_T5_2823165426,experiments/validation/final-refresh-20260908/tree-collective-n500000-q360p120-balanced-20.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-final-t786433.json
tree-final-t786433-b5-k5-tree-final,21,carry,6,500000,passed,0,80.258753,7.678827249997994,experiments/validation/final-refresh-20260908/raw/20260908_184640_n6_b5_k5_T5_1639960843,experiments/validation/final-refresh-20260908/tree-collective-n500000-q360p120-carry-21.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-final-t786433.json
tree-final-t786433-b5-k5-tree-final,0,concentrated,6,500000,passed,0,81.1885,7.702651291998336,experiments/validation/final-refresh-20260908/raw/20260908_183108_n6_b5_k5_T5_263501606,experiments/validation/final-refresh-20260908/tree-collective-n500000-q360p120-concentrated-0.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-final-t786433.json
tree-final-t786433-b5-k5-tree-final,10,random,6,500000,passed,0,80.620025,7.697553917001642,experiments/validation/final-refresh-20260908/raw/20260908_184155_n6_b5_k5_T5_113379122,experiments/validation/final-refresh-20260908/tree-collective-n500000-q360p120-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-final-t786433.json
tree-none-t65537-b5-k5-tree-none,10,random,6,1000,passed,0,38.287797,16.391931125006522,experiments/validation/final-refresh-20260908/raw/20260908_183743_n6_b5_k5_T5_1764564365,experiments/validation/final-refresh-20260908/tree-none-n1000-q384-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-none-t65537.json
tree-none-t65537-b5-k5-tree-none,10,random,6,10000,passed,0,31.764563,15.511744250004995,experiments/validation/final-refresh-20260908/raw/20260908_183859_n6_b5_k5_T5_4042058672,experiments/validation/final-refresh-20260908/tree-none-n10000-q384-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-none-t65537.json
tree-none-t786433-b5-k5-tree-none,10,random,6,100000,passed,0,46.285395,15.791238124998927,experiments/validation/final-refresh-20260908/raw/20260908_184056_n6_b5_k5_T5_460269365,experiments/validation/final-refresh-20260908/tree-none-n100000-q440-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/tree-none-t786433.json
