family,n,b,k,T,candidate_logN,voters_per_ciphertext,ciphertext_blocks,max_submissions_per_block_per_period,fresh_input_additions_all_periods,benchmark_input_additions,period_accumulator_encryptions,echo_ct_multiplications,echo_ct_additions,echo_multiplication_depth,majority_polynomial_evaluations,downstream_ct_multiplications_excluding_polynomial,downstream_multiplication_depth,uninterrupted_depth,final_refresh_ciphertexts,intermediate_refresh_ciphertexts,cli_refresh_mode,cli_refresh_interval,minimum_Q_prime_count_in_current_loader,Q_selection_status
tree-none,25000,5,5,5,14,3276,8,3276,375000,75000,120,336,256,4,16,24,5,9,0,0,none,0,4,unresolved-noise-bounds-required
tree-final-refresh,25000,5,5,5,14,3276,8,3276,375000,75000,120,336,256,4,16,24,5,5,16,0,collective,0,4,unresolved-noise-bounds-required
sequential-none,25000,5,5,5,14,3276,8,3276,375000,75000,120,144,128,5,16,24,5,10,0,0,none,0,4,unresolved-noise-bounds-required
sequential-final-refresh,25000,5,5,5,14,3276,8,3276,375000,75000,120,144,128,5,16,24,5,5,16,0,collective,5,4,unresolved-noise-bounds-required
tree-none,25000,5,5,5,15,6552,4,6552,375000,75000,60,168,128,4,8,12,5,9,0,0,none,0,4,unresolved-noise-bounds-required
tree-final-refresh,25000,5,5,5,15,6552,4,6552,375000,75000,60,168,128,4,8,12,5,5,8,0,collective,0,4,unresolved-noise-bounds-required
sequential-none,25000,5,5,5,15,6552,4,6552,375000,75000,60,72,64,5,8,12,5,10,0,0,none,0,4,unresolved-noise-bounds-required
sequential-final-refresh,25000,5,5,5,15,6552,4,6552,375000,75000,60,72,64,5,8,12,5,5,8,0,collective,5,4,unresolved-noise-bounds-required
tree-none,50000,5,5,5,14,3276,16,3276,750000,150000,240,672,512,4,32,48,5,9,0,0,none,0,4,unresolved-noise-bounds-required
tree-final-refresh,50000,5,5,5,14,3276,16,3276,750000,150000,240,672,512,4,32,48,5,5,32,0,collective,0,4,unresolved-noise-bounds-required
sequential-none,50000,5,5,5,14,3276,16,3276,750000,150000,240,288,256,5,32,48,5,10,0,0,none,0,4,unresolved-noise-bounds-required
sequential-final-refresh,50000,5,5,5,14,3276,16,3276,750000,150000,240,288,256,5,32,48,5,5,32,0,collective,5,4,unresolved-noise-bounds-required
tree-none,50000,5,5,5,15,6552,8,6552,750000,150000,120,336,256,4,16,24,5,9,0,0,none,0,4,unresolved-noise-bounds-required
tree-final-refresh,50000,5,5,5,15,6552,8,6552,750000,150000,120,336,256,4,16,24,5,5,16,0,collective,0,4,unresolved-noise-bounds-required
sequential-none,50000,5,5,5,15,6552,8,6552,750000,150000,120,144,128,5,16,24,5,10,0,0,none,0,4,unresolved-noise-bounds-required
sequential-final-refresh,50000,5,5,5,15,6552,8,6552,750000,150000,120,144,128,5,16,24,5,5,16,0,collective,5,4,unresolved-noise-bounds-required
tree-none,100000,5,5,5,14,3276,31,3276,1500000,300000,465,1302,992,4,62,93,5,9,0,0,none,0,4,unresolved-noise-bounds-required
tree-final-refresh,100000,5,5,5,14,3276,31,3276,1500000,300000,465,1302,992,4,62,93,5,5,62,0,collective,0,4,unresolved-noise-bounds-required
sequential-none,100000,5,5,5,14,3276,31,3276,1500000,300000,465,558,496,5,62,93,5,10,0,0,none,0,4,unresolved-noise-bounds-required
sequential-final-refresh,100000,5,5,5,14,3276,31,3276,1500000,300000,465,558,496,5,62,93,5,5,62,0,collective,5,4,unresolved-noise-bounds-required
tree-none,100000,5,5,5,15,6552,16,6552,1500000,300000,240,672,512,4,32,48,5,9,0,0,none,0,4,unresolved-noise-bounds-required
tree-final-refresh,100000,5,5,5,15,6552,16,6552,1500000,300000,240,672,512,4,32,48,5,5,32,0,collective,0,4,unresolved-noise-bounds-required
sequential-none,100000,5,5,5,15,6552,16,6552,1500000,300000,240,288,256,5,32,48,5,10,0,0,none,0,4,unresolved-noise-bounds-required
sequential-final-refresh,100000,5,5,5,15,6552,16,6552,1500000,300000,240,288,256,5,32,48,5,5,32,0,collective,5,4,unresolved-noise-bounds-required
tree-none,500000,5,5,5,14,3276,153,3276,7500000,1500000,2295,6426,4896,4,306,459,5,9,0,0,none,0,4,unresolved-noise-bounds-required
tree-final-refresh,500000,5,5,5,14,3276,153,3276,7500000,1500000,2295,6426,4896,4,306,459,5,5,306,0,collective,0,4,unresolved-noise-bounds-required
sequential-none,500000,5,5,5,14,3276,153,3276,7500000,1500000,2295,2754,2448,5,306,459,5,10,0,0,none,0,4,unresolved-noise-bounds-required
sequential-final-refresh,500000,5,5,5,14,3276,153,3276,7500000,1500000,2295,2754,2448,5,306,459,5,5,306,0,collective,5,4,unresolved-noise-bounds-required
tree-none,500000,5,5,5,15,6552,77,6552,7500000,1500000,1155,3234,2464,4,154,231,5,9,0,0,none,0,4,unresolved-noise-bounds-required
tree-final-refresh,500000,5,5,5,15,6552,77,6552,7500000,1500000,1155,3234,2464,4,154,231,5,5,154,0,collective,0,4,unresolved-noise-bounds-required
sequential-none,500000,5,5,5,15,6552,77,6552,7500000,1500000,1155,1386,1232,5,154,231,5,10,0,0,none,0,4,unresolved-noise-bounds-required
sequential-final-refresh,500000,5,5,5,15,6552,77,6552,7500000,1500000,1155,1386,1232,5,154,231,5,5,154,0,collective,5,4,unresolved-noise-bounds-required
