experiment_id,n,b,k,T,qmax,parties,strategy,echo_mode,refresh_mode,refresh_interval,execution_mode,sample_voters,parameter_file
n200-b3-k100-tree-none,200,3,100,5,1,3,tree-none,tree,none,0,fresh,0,parameters/b3-k100/tree-none-50k.json
n200-b3-k100-tree-final,200,3,100,5,1,3,tree-final,tree,collective,0,fresh,0,parameters/b3-k100/tree-final-50k.json
n200-b3-k100-sequential-none,200,3,100,5,1,3,sequential-none,sequential,none,0,fresh,0,parameters/b3-k100/sequential-none-50k.json
n200-b3-k100-sequential-final,200,3,100,5,1,3,sequential-final,sequential,collective,5,fresh,0,parameters/b3-k100/sequential-final-50k.json
n500-b3-k100-tree-none,500,3,100,5,1,3,tree-none,tree,none,0,fresh,0,parameters/b3-k100/tree-none-50k.json
n500-b3-k100-tree-final,500,3,100,5,1,3,tree-final,tree,collective,0,fresh,0,parameters/b3-k100/tree-final-50k.json
n500-b3-k100-sequential-none,500,3,100,5,1,3,sequential-none,sequential,none,0,fresh,0,parameters/b3-k100/sequential-none-50k.json
n500-b3-k100-sequential-final,500,3,100,5,1,3,sequential-final,sequential,collective,5,fresh,0,parameters/b3-k100/sequential-final-50k.json
n1k-b3-k100-tree-none,1000,3,100,5,1,3,tree-none,tree,none,0,fresh,0,parameters/b3-k100/tree-none-50k.json
n1k-b3-k100-tree-final,1000,3,100,5,1,3,tree-final,tree,collective,0,fresh,0,parameters/b3-k100/tree-final-50k.json
n1k-b3-k100-sequential-none,1000,3,100,5,1,3,sequential-none,sequential,none,0,fresh,0,parameters/b3-k100/sequential-none-50k.json
n1k-b3-k100-sequential-final,1000,3,100,5,1,3,sequential-final,sequential,collective,5,fresh,0,parameters/b3-k100/sequential-final-50k.json
n5k-b3-k100-tree-none,5000,3,100,5,1,3,tree-none,tree,none,0,fresh,0,parameters/b3-k100/tree-none-50k.json
n5k-b3-k100-tree-final,5000,3,100,5,1,3,tree-final,tree,collective,0,fresh,0,parameters/b3-k100/tree-final-50k.json
n5k-b3-k100-sequential-none,5000,3,100,5,1,3,sequential-none,sequential,none,0,fresh,0,parameters/b3-k100/sequential-none-50k.json
n5k-b3-k100-sequential-final,5000,3,100,5,1,3,sequential-final,sequential,collective,5,fresh,0,parameters/b3-k100/sequential-final-50k.json
n10k-b3-k100-tree-none,10000,3,100,5,1,3,tree-none,tree,none,0,benchmark,10000,parameters/b3-k100/tree-none-50k.json
n10k-b3-k100-tree-final,10000,3,100,5,1,3,tree-final,tree,collective,0,benchmark,10000,parameters/b3-k100/tree-final-50k.json
n10k-b3-k100-sequential-none,10000,3,100,5,1,3,sequential-none,sequential,none,0,benchmark,10000,parameters/b3-k100/sequential-none-50k.json
n10k-b3-k100-sequential-final,10000,3,100,5,1,3,sequential-final,sequential,collective,5,benchmark,10000,parameters/b3-k100/sequential-final-50k.json
n25k-b3-k100-tree-none,25000,3,100,5,1,3,tree-none,tree,none,0,benchmark,25000,parameters/b3-k100/tree-none-50k.json
n25k-b3-k100-tree-final,25000,3,100,5,1,3,tree-final,tree,collective,0,benchmark,25000,parameters/b3-k100/tree-final-50k.json
n25k-b3-k100-sequential-none,25000,3,100,5,1,3,sequential-none,sequential,none,0,benchmark,25000,parameters/b3-k100/sequential-none-50k.json
n25k-b3-k100-sequential-final,25000,3,100,5,1,3,sequential-final,sequential,collective,5,benchmark,25000,parameters/b3-k100/sequential-final-50k.json
n50k-b3-k100-tree-none,50000,3,100,5,1,3,tree-none,tree,none,0,benchmark,50000,parameters/b3-k100/tree-none-50k.json
n50k-b3-k100-tree-final,50000,3,100,5,1,3,tree-final,tree,collective,0,benchmark,50000,parameters/b3-k100/tree-final-50k.json
n50k-b3-k100-sequential-none,50000,3,100,5,1,3,sequential-none,sequential,none,0,benchmark,50000,parameters/b3-k100/sequential-none-50k.json
n50k-b3-k100-sequential-final,50000,3,100,5,1,3,sequential-final,sequential,collective,5,benchmark,50000,parameters/b3-k100/sequential-final-50k.json
n100k-b3-k100-tree-none,100000,3,100,5,1,3,tree-none,tree,none,0,benchmark,100000,parameters/b3-k100/tree-none-100k.json
n100k-b3-k100-tree-final,100000,3,100,5,1,3,tree-final,tree,collective,0,benchmark,100000,parameters/b3-k100/tree-final-100k.json
n100k-b3-k100-sequential-none,100000,3,100,5,1,3,sequential-none,sequential,none,0,benchmark,100000,parameters/b3-k100/sequential-none-100k.json
n100k-b3-k100-sequential-final,100000,3,100,5,1,3,sequential-final,sequential,collective,5,benchmark,100000,parameters/b3-k100/sequential-final-100k.json
